x	lat_us
3.9995	0.3866
3.9966	0.4577
3.9847	0.5420
3.9538	0.6418
3.9062	0.7599
3.8701	0.8999
3.8719	1.0655
3.8958	1.2617
3.8988	1.4940
3.8495	1.7691
3.7500	2.0948
3.6548	2.4805
3.6400	2.9372
3.7189	3.4780
3.8305	4.1183
3.9163	4.8765
3.9639	5.7744
3.9861	6.8375
3.9952	8.0964
3.9985	9.5870
3.9995	11.3521
4.0005	11.3521
4.0015	9.5870
4.0048	8.0964
4.0139	6.8375
4.0361	5.7744
4.0837	4.8765
4.1695	4.1183
4.2811	3.4780
4.3600	2.9372
4.3452	2.4805
4.2500	2.0948
4.1505	1.7691
4.1012	1.4940
4.1042	1.2617
4.1281	1.0655
4.1299	0.8999
4.0938	0.7599
4.0462	0.6418
4.0153	0.5420
4.0034	0.4577
4.0005	0.3866
3.9995	0.3866
