x	lat_us
1.9993	0.4577
1.9955	0.5420
1.9805	0.6418
1.9368	0.7599
1.8472	0.8999
1.7264	1.0655
1.6400	1.2617
1.6526	1.4940
1.7488	1.7691
1.8506	2.0948
1.9092	2.4805
1.9349	2.9372
1.9504	3.4780
1.9586	4.1183
1.9559	4.8765
1.9485	5.7744
1.9464	6.8375
1.9496	8.0964
1.9490	9.5870
1.9376	11.3521
1.9196	13.4422
1.9075	15.9171
1.9089	18.8477
1.9187	22.3178
1.9262	26.4268
1.9287	31.2923
1.9311	37.0536
1.9374	43.8757
1.9471	51.9538
1.9584	61.5192
1.9692	72.8457
1.9773	86.2575
1.9831	102.1387
1.9882	120.9438
1.9926	143.2112
1.9956	169.5783
1.9975	200.7999
1.9988	237.7699
1.9995	281.5465
2.0005	281.5465
2.0012	237.7699
2.0025	200.7999
2.0044	169.5783
2.0074	143.2112
2.0118	120.9438
2.0169	102.1387
2.0227	86.2575
2.0308	72.8457
2.0416	61.5192
2.0529	51.9538
2.0626	43.8757
2.0689	37.0536
2.0713	31.2923
2.0738	26.4268
2.0813	22.3178
2.0911	18.8477
2.0925	15.9171
2.0804	13.4422
2.0624	11.3521
2.0510	9.5870
2.0504	8.0964
2.0536	6.8375
2.0515	5.7744
2.0441	4.8765
2.0414	4.1183
2.0496	3.4780
2.0651	2.9372
2.0908	2.4805
2.1494	2.0948
2.2512	1.7691
2.3474	1.4940
2.3600	1.2617
2.2736	1.0655
2.1528	0.8999
2.0632	0.7599
2.0195	0.6418
2.0045	0.5420
2.0007	0.4577
1.9993	0.4577
