x	lat_us
2.9951	0.3265
2.9819	0.3866
2.9495	0.4577
2.8893	0.5420
2.8028	0.6418
2.7104	0.7599
2.6474	0.8999
2.6400	1.0655
2.6851	1.2617
2.7602	1.4940
2.8405	1.7691
2.9067	2.0948
2.9507	2.4805
2.9754	2.9372
2.9879	3.4780
2.9940	4.1183
2.9969	4.8765
2.9983	5.7744
2.9990	6.8375
2.9994	8.0964
2.9996	9.5870
3.0004	9.5870
3.0006	8.0964
3.0010	6.8375
3.0017	5.7744
3.0031	4.8765
3.0060	4.1183
3.0121	3.4780
3.0246	2.9372
3.0493	2.4805
3.0933	2.0948
3.1595	1.7691
3.2398	1.4940
3.3149	1.2617
3.3600	1.0655
3.3526	0.8999
3.2896	0.7599
3.1972	0.6418
3.1107	0.5420
3.0505	0.4577
3.0181	0.3866
3.0049	0.3265
2.9951	0.3265
