x	lat_us
5.9995	0.3265
5.9972	0.3866
5.9874	0.4577
5.9574	0.5420
5.8919	0.6418
5.7932	0.7599
5.6943	0.8999
5.6400	1.0655
5.6512	1.2617
5.7157	1.4940
5.8017	1.7691
5.8783	2.0948
5.9312	2.4805
5.9629	2.9372
5.9809	3.4780
5.9909	4.1183
5.9961	4.8765
5.9986	5.7744
5.9996	6.8375
6.0004	6.8375
6.0014	5.7744
6.0039	4.8765
6.0091	4.1183
6.0191	3.4780
6.0371	2.9372
6.0688	2.4805
6.1217	2.0948
6.1983	1.7691
6.2843	1.4940
6.3488	1.2617
6.3600	1.0655
6.3057	0.8999
6.2068	0.7599
6.1081	0.6418
6.0426	0.5420
6.0126	0.4577
6.0028	0.3866
6.0005	0.3265
5.9995	0.3265
