x	lat_us
4.9847	0.3265
4.9521	0.3866
4.8857	0.4577
4.7880	0.5420
4.6889	0.6418
4.6400	0.7599
4.6787	0.8999
4.7840	1.0655
4.8914	1.2617
4.9574	1.4940
4.9829	1.7691
4.9863	2.0948
4.9803	2.4805
4.9704	2.9372
4.9605	3.4780
4.9547	4.1183
4.9553	4.8765
4.9599	5.7744
4.9647	6.8375
4.9682	8.0964
4.9716	9.5870
4.9759	11.3521
4.9810	13.4422
4.9862	15.9171
4.9905	18.8477
4.9938	22.3178
4.9961	26.4268
4.9977	31.2923
4.9988	37.0536
4.9995	43.8757
5.0005	43.8757
5.0012	37.0536
5.0023	31.2923
5.0039	26.4268
5.0062	22.3178
5.0095	18.8477
5.0138	15.9171
5.0190	13.4422
5.0241	11.3521
5.0284	9.5870
5.0318	8.0964
5.0353	6.8375
5.0401	5.7744
5.0447	4.8765
5.0453	4.1183
5.0395	3.4780
5.0296	2.9372
5.0197	2.4805
5.0137	2.0948
5.0171	1.7691
5.0426	1.4940
5.1086	1.2617
5.2160	1.0655
5.3213	0.8999
5.3600	0.7599
5.3111	0.6418
5.2120	0.5420
5.1143	0.4577
5.0479	0.3866
5.0153	0.3265
4.9847	0.3265
