x	lat_us
0.9191	0.3265
0.8492	0.3866
0.7631	0.4577
0.6813	0.5420
0.6400	0.6418
0.6653	0.7599
0.7437	0.8999
0.8321	1.0655
0.8977	1.2617
0.9376	1.4940
0.9623	1.7691
0.9787	2.0948
0.9889	2.4805
0.9938	2.9372
0.9948	3.4780
0.9937	4.1183
0.9931	4.8765
0.9943	5.7744
0.9965	6.8375
0.9984	8.0964
0.9994	9.5870
1.0006	9.5870
1.0016	8.0964
1.0035	6.8375
1.0057	5.7744
1.0069	4.8765
1.0063	4.1183
1.0052	3.4780
1.0062	2.9372
1.0111	2.4805
1.0213	2.0948
1.0377	1.7691
1.0624	1.4940
1.1023	1.2617
1.1679	1.0655
1.2563	0.8999
1.3347	0.7599
1.3600	0.6418
1.3187	0.5420
1.2369	0.4577
1.1508	0.3866
1.0809	0.3265
0.9191	0.3265
